Title,Salary,Link,Vaxx
"Data Analyst, Business Intelligence",,https://ca.indeed.com/rc/clk?jk=d7df5a45e3c6f227&fccid=b726a5ebc0841dee&vjs=3,False
"Analyst, Data & Analytics Access Mgmt.",,https://ca.indeed.com/rc/clk?jk=2cb11db02eac5bb4&fccid=3a429036b3725efa&vjs=3,False
Data Analyst,,https://ca.indeed.com/rc/clk?jk=782619725ca740fe&fccid=0d24f3d7d05a03be&vjs=3,False
Data Business Analyst (Toronto),,https://ca.indeed.com/company/Just.Be/jobs/Data-Business-Analyst-114cff1d779629e7?fccid=f5e56953d86cea57&vjs=3,False
Data Analyst,"$80,000 - $90,000 a year",https://ca.indeed.com/company/White-Ash-Group/jobs/Data-Analyst-92f055b0a90ded93?fccid=5174869c732f070e&vjs=3,False
"Data Analyst, Health & Safety Reporting & Metrics",,https://ca.indeed.com/rc/clk?jk=49d3ee39b6239aaa&fccid=537b899e30af3338&vjs=3,True
Sr. Business Analyst,,https://ca.indeed.com/rc/clk?jk=c0441843fea4ab5b&fccid=f057e04c37cca134&vjs=3,True
Data Analyst (SQL+ETL),,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE3i-xGI4I9OpWckzYv-8KBxSJXGo3ESvPoZ67meN8_uan52fLSo7AaI_X4kInyp5lL0df3kDFzok6ymceRZpsmAofpm2VoV8c3GCd8SAPJBGGucPrqy-YLClH7SzcqK_515qYS2dua0s-2SHWFMCf4B1Wa8M7dYPKEUw4JnO1w6_3eBGfSZQwDJCwBLpC1zq0QISgcPMjt7n6_VSjr-larqx8ZVrarmzy2Gqpg2bPY7AS0_hB0vP7tggYK9Vzj_9FLOjrXTuNCuLjzSMjh8L9451HiL7NszW3fojX6HWRCkJRgz96c6WiFu3CyDMCZ47FQKvWcolVWPUKXP7JM_Tk4WqaFtCdhtFuRGNoA3PELzQZY7oMOpcM15Cp67NRvsnXmPPwbyK1kqeqtlJNSbFAtmMePH1WYeQSvRmZYhVbuxM5f6X0WEa0R3kXGDRhA7j780Q5U4vYOgUfPlnSmpqFSq3QvY-IpQU=&p=0&fvj=1&vjs=3,False
"Data Analyst, Summer 2022 Student Opportunities",,https://ca.indeed.com/rc/clk?jk=2565e400c1fe9ba5&fccid=537b899e30af3338&vjs=3,True
Data Analyst NOC-2172,"$6,638 a month",https://ca.indeed.com/company/hbimsw.ca/jobs/Data-Analyst-Noc-0ad56fa53c71d61d?fccid=40dfdaec8d1417f0&vjs=3,False
Data Analyst (Remote in Canada),,https://ca.indeed.com/company/InteraXon/jobs/Data-Analyst-e472f1265629831b?fccid=1fc1efce6d60cd16&vjs=3,False
IT Data Analyst III,,https://ca.indeed.com/rc/clk?jk=9fe4e435d0ad6208&fccid=d7114f1cac8d0711&vjs=3,False
Data Science Analyst,,https://ca.indeed.com/rc/clk?jk=07c2dedb9972cd0c&fccid=2e16043297423070&vjs=3,True
Data Analyst,$50 - $65 an hour,https://ca.indeed.com/company/www.dawninfotek.com/jobs/Data-Analyst-53e7925a31cf6153?fccid=b92bdfc2ac8613c3&vjs=3,False
Junior Data Analyst,"$45,000 a year",https://ca.indeed.com/company/Delvinia/jobs/Junior-Data-Analyst-fc91e0d3806a3c48?fccid=e1fe1efe2ecb95ed&vjs=3,False
"Data Analyst (Fixed-Term, 12-months)",,https://ca.indeed.com/rc/clk?jk=956402583f4a407a&fccid=13a3479abac5f822&vjs=3,False
Jr. Data Analyst,"$40,000 - $45,000 a year",https://ca.indeed.com/company/Flex-Surveys/jobs/Junior-Data-Analyst-f02ceafddcf92f21?fccid=25edde9d786f2c99&vjs=3,False
Data Analyst IV,,https://ca.indeed.com/rc/clk?jk=ae6990950e671de5&fccid=d7114f1cac8d0711&vjs=3,False
Data Analyst,,https://ca.indeed.com/company/Clutch-Canada/jobs/Data-Analyst-d0b4bb99133f38ec?fccid=5fb79bf1f6da0240&vjs=3,True
Business Analyst,,https://ca.indeed.com/company/MSi-Corp/jobs/Business-Analyst-5b3a04ed12bc059d?fccid=183e06e7def5a52c&vjs=3,False
Fraud Analyst (New / Recent Graduate),,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAu63qYmF4ruMsyyhkvi8oPoP2sFN7ueC2iu3o-4MDNmzeq_4XpHC_zpjoHss10xl4Ch9m9fkYOjP_MpUAEs0zZGLp82aKd8KuyT1OhovyNED13NmnrGmAQ7t2NCHDteFWFoWDY7ayzWOVaOqzY1jT2bi-4yQT0PAbt8SLmPKyQxxEcpEtbCtQadW422RsP0U9i0Uhxx3AWeVVcQSNFS8ywHgHDAM6PzjkmCczIwmdi2v5xA0AzY-RTqMCQd_GncNCQURs1CtbC73rSNf3pPmfSSjNfCBydvgggoABMKpQS_Dx-FtT2KBksnOHujt7QRsj2de3vxQ0LqEVY6FjlVDVJS0D1yDtNd6ySh_5hQWfYOYhfVL0VtTGOev9mnaaG5lzWrs4bQ7iHQh7HHD_SODmLnsgZdHjSxEUhznBdcrx-B_tpvtMg2JPnxMYW6AmUnEeVOQybgmiHbIxhPkAQLrbkoAnTDIHfbQLPH8IhLP4Bbhy-2aIAuLjRP-kc9errs3RQtbqliR_Duz4FtcRzSd8B1hYQVEfqlT1DXdwyTqFZb0_g1ZN2f57MFeZEojhsr7eOFQVS2aS0W5Z47x8QxNL&p=0&fvj=0&vjs=3,False
